,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie Penguin (Pygoscelis adeliae),Dream,36.6,18.4,184.0,3475.0,FEMALE
1,Adelie Penguin (Pygoscelis adeliae),Dream,39.8,19.1,184.0,4650.0,MALE
2,Adelie Penguin (Pygoscelis adeliae),Dream,40.9,18.9,184.0,3900.0,MALE
3,Chinstrap penguin (Pygoscelis antarctica),Dream,46.5,17.9,192.0,3500.0,FEMALE
4,Adelie Penguin (Pygoscelis adeliae),Dream,37.3,16.8,192.0,3000.0,FEMALE
5,Adelie Penguin (Pygoscelis adeliae),Dream,43.2,18.5,192.0,4100.0,MALE
6,Chinstrap penguin (Pygoscelis antarctica),Dream,46.9,16.6,192.0,2700.0,FEMALE
7,Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,18.4,200.0,3400.0,FEMALE
8,Chinstrap penguin (Pygoscelis antarctica),Dream,49.5,19.0,200.0,3800.0,MALE
9,Adelie Penguin (Pygoscelis adeliae),Dream,40.2,20.1,200.0,3975.0,MALE
10,Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.9,208.0,4300.0,MALE
11,Adelie Penguin (Pygoscelis adeliae),Dream,39.0,18.7,185.0,3650.0,MALE
12,Adelie Penguin (Pygoscelis adeliae),Dream,37.0,16.9,185.0,3000.0,FEMALE
13,Chinstrap penguin (Pygoscelis antarctica),Dream,47.0,17.3,185.0,3700.0,FEMALE
14,Adelie Penguin (Pygoscelis adeliae),Dream,34.0,17.1,185.0,3400.0,FEMALE
15,Adelie Penguin (Pygoscelis adeliae),Dream,37.0,16.5,185.0,3400.0,FEMALE
16,Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17.3,193.0,3600.0,FEMALE
17,Chinstrap penguin (Pygoscelis antarctica),Dream,50.6,19.4,193.0,3800.0,MALE
18,Adelie Penguin (Pygoscelis adeliae),Dream,39.7,17.9,193.0,4250.0,MALE
19,Adelie Penguin (Pygoscelis adeliae),Dream,37.8,18.1,193.0,3750.0,MALE
20,Chinstrap penguin (Pygoscelis antarctica),Dream,46.6,17.8,193.0,3800.0,FEMALE
21,Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.2,193.0,3650.0,MALE
22,Adelie Penguin (Pygoscelis adeliae),Dream,40.2,17.1,193.0,3400.0,FEMALE
23,Adelie Penguin (Pygoscelis adeliae),Dream,36.8,18.5,193.0,3500.0,FEMALE
24,Chinstrap penguin (Pygoscelis antarctica),Dream,49.6,18.2,193.0,3775.0,MALE
25,Chinstrap penguin (Pygoscelis antarctica),Dream,52.0,18.1,201.0,4050.0,MALE
26,Adelie Penguin (Pygoscelis adeliae),Dream,41.5,18.5,201.0,4000.0,MALE
27,Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,19.6,201.0,4050.0,MALE
28,Chinstrap penguin (Pygoscelis antarctica),Dream,54.2,20.8,201.0,4300.0,MALE
29,Chinstrap penguin (Pygoscelis antarctica),Dream,51.4,19.0,201.0,3950.0,MALE
30,Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,18.5,201.0,4450.0,MALE
31,Adelie Penguin (Pygoscelis adeliae),Dream,33.1,16.1,178.0,2900.0,FEMALE
32,Adelie Penguin (Pygoscelis adeliae),Dream,37.2,18.1,178.0,3900.0,MALE
33,Adelie Penguin (Pygoscelis adeliae),Dream,39.5,16.7,178.0,3250.0,FEMALE
34,Chinstrap penguin (Pygoscelis antarctica),Dream,46.1,18.2,178.0,3250.0,FEMALE
35,Adelie Penguin (Pygoscelis adeliae),Dream,36.0,18.5,186.0,3100.0,FEMALE
36,Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.1,186.0,4450.0,MALE
37,Chinstrap penguin (Pygoscelis antarctica),Dream,51.7,20.3,194.0,3775.0,MALE
38,Adelie Penguin (Pygoscelis adeliae),Dream,41.3,20.3,194.0,3550.0,MALE
39,Chinstrap penguin (Pygoscelis antarctica),Dream,45.6,19.4,194.0,3525.0,FEMALE
40,Chinstrap penguin (Pygoscelis antarctica),Dream,50.2,18.8,202.0,3800.0,MALE
41,Adelie Penguin (Pygoscelis adeliae),Dream,35.7,18.0,202.0,3550.0,FEMALE
42,Chinstrap penguin (Pygoscelis antarctica),Dream,43.5,18.1,202.0,3400.0,FEMALE
43,Chinstrap penguin (Pygoscelis antarctica),Dream,49.0,19.5,210.0,3950.0,MALE
44,Chinstrap penguin (Pygoscelis antarctica),Dream,50.8,19.0,210.0,4100.0,MALE
45,Chinstrap penguin (Pygoscelis antarctica),Dream,52.0,20.7,210.0,4800.0,MALE
46,Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.9,179.0,2975.0,
47,Chinstrap penguin (Pygoscelis antarctica),Dream,46.2,17.5,187.0,3650.0,FEMALE
48,Chinstrap penguin (Pygoscelis antarctica),Dream,51.5,18.7,187.0,3250.0,MALE
49,Chinstrap penguin (Pygoscelis antarctica),Dream,40.9,16.6,187.0,3200.0,FEMALE
50,Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,16.7,187.0,3350.0,FEMALE
51,Adelie Penguin (Pygoscelis adeliae),Dream,38.1,17.6,187.0,3425.0,FEMALE
52,Chinstrap penguin (Pygoscelis antarctica),Dream,42.5,17.3,187.0,3350.0,FEMALE
53,Adelie Penguin (Pygoscelis adeliae),Dream,36.0,17.1,187.0,3700.0,FEMALE
54,Adelie Penguin (Pygoscelis adeliae),Dream,40.6,17.2,187.0,3475.0,MALE
55,Adelie Penguin (Pygoscelis adeliae),Dream,36.2,17.3,187.0,3300.0,FEMALE
56,Chinstrap penguin (Pygoscelis antarctica),Dream,43.2,16.6,187.0,2900.0,FEMALE
57,Chinstrap penguin (Pygoscelis antarctica),Dream,49.2,18.2,195.0,4400.0,MALE
58,Chinstrap penguin (Pygoscelis antarctica),Dream,47.6,18.3,195.0,3850.0,FEMALE
59,Chinstrap penguin (Pygoscelis antarctica),Dream,45.7,17.0,195.0,3650.0,FEMALE
60,Chinstrap penguin (Pygoscelis antarctica),Dream,46.7,17.9,195.0,3300.0,FEMALE
61,Chinstrap penguin (Pygoscelis antarctica),Dream,46.0,18.9,195.0,4150.0,FEMALE
62,Adelie Penguin (Pygoscelis adeliae),Dream,36.4,17.0,195.0,3325.0,FEMALE
63,Chinstrap penguin (Pygoscelis antarctica),Dream,49.7,18.6,195.0,3600.0,MALE
64,Adelie Penguin (Pygoscelis adeliae),Dream,36.0,17.8,195.0,3450.0,FEMALE
